id,name,type,status,manufacturer,manufacturer_abbr,user,user_abbr,image_proof_link,image_proof_link_direct,year_first_produced,confirmed_lost_date
4322,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://twitter.com/UAWeapons/status/1580291630913187840,https://twitter.com/UAWeapons/status/1580291630913187840,1970.0,
4323,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/6qSDyw6d,https://i.postimg.cc/6qSDyw6d/1028-mtlb-destr.jpg,1970.0,
4324,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/VsgZ1sp0,https://i.postimg.cc/VsgZ1sp0/1015-MT-LB-destr-31-12-23.jpg,1970.0,2023-12-31
4325,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/yYY0Hk5C,https://i.postimg.cc/yYY0Hk5C/73.jpg,1970.0,
4326,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/bw1fF0Hb,https://i.postimg.cc/bw1fF0Hb/1016-mtlb-destr.jpg,1970.0,
4327,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/ht21zWFf,https://i.postimg.cc/ht21zWFf/1027-mtlb-destr-10-01-23.jpg,1970.0,2023-01-10
4328,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/LsWSFHTR,https://i.postimg.cc/LsWSFHTR/2022-04-06-mt-lb.jpg,1970.0,2022-04-06
4329,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/gJrcGLFt,https://i.postimg.cc/gJrcGLFt/2022-04-07-mt-lb.jpg,1970.0,2022-04-07
4330,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/W45bR6KJ,https://i.postimg.cc/W45bR6KJ/2022-04-07-mt-lb-2.jpg,1970.0,
4331,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/3wV7pKzN,https://i.postimg.cc/3wV7pKzN/2022-04-07-mt-lb-4.jpg,1970.0,2022-04-07
4332,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/NGkD3dk0,https://i.postimg.cc/NGkD3dk0/2022-04-13-mt-lb.jpg,1970.0,
4333,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/jjhCxngy,https://i.postimg.cc/jjhCxngy/2022-04-21-mt-lb.jpg,1970.0,
4334,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/66m7kRyg,https://i.postimg.cc/66m7kRyg/2022-04-22-MT-LB.jpg,1970.0,
4335,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/hPMJ8779,https://i.postimg.cc/hPMJ8779/2022-05-06-mt-lb.jpg,1970.0,
4336,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/BngPBSm1,https://i.postimg.cc/BngPBSm1/2022-05-30-mt-lb.jpg,1970.0,
4337,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/9M1xYzD2,https://i.postimg.cc/9M1xYzD2/2022-06-28-mt-lb.jpg,1970.0,2022-06-28
