id,name,type,status,day,month,year,manufacturer,manufacturer_abbr,user,user_abbr,proof,year_first_produced,directproof,fulldate
78,T-62M,Tanks,destroyed,26,7,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/sxx8GncF,1983,https://i.postimg.cc/sxx8GncF/1051-T-62-M-destr-26-07-24.jpg,26/7/2024
79,T-62M,Tanks,destroyed,6,8,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/8C8mLjDW,1983,https://i.postimg.cc/8C8mLjDW/1025-T-62-M-destr-06-08-24.jpg,6/8/2024
80,T-62M,Tanks,destroyed,21,8,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/bYnvM782,1983,https://i.postimg.cc/bYnvM782/1023-T-62-M-destr-21-08-24.jpg,21/8/2024
81,T-62M,Tanks,destroyed,13,6,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/brRZDFKF,1983,https://i.postimg.cc/brRZDFKF/1108-unkn-t62-destr-13-06-24.jpg,13/6/2024
82,T-62M,Tanks,destroyed,22,9,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/CL6ss7Td,1983,https://i.postimg.cc/CL6ss7Td/1049-T-62-M-destr-22-09-24.jpg,22/9/2024
83,T-62M,Tanks,destroyed,25,9,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/8Ps3sxVB,1983,https://i.postimg.cc/8Ps3sxVB/1004-T-62-M-destr-25-09-24.jpg,25/9/2024
84,T-62M,Tanks,destroyed,5,10,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/RFWRQ0pN,1983,https://i.postimg.cc/RFWRQ0pN/1045-T-62-M-destr-05-10-24.jpg,5/10/2024
85,T-62M,Tanks,destroyed,6,10,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/3xfqX4LZ,1983,https://i.postimg.cc/3xfqX4LZ/1075-T-62-M-destr-06-10-24.jpg,6/10/2024
86,T-62M,Tanks,destroyed,13,9,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/BQgkvwHk,1983,https://i.postimg.cc/BQgkvwHk/1082-T-62-M-destr-13-09-24.jpg,13/9/2024
87,T-62M,Tanks,destroyed,16,10,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/XqKhdshZ,1983,https://i.postimg.cc/XqKhdshZ/1182-T-62-M-destr-16-10-24.jpg,16/10/2024
88,T-62M,Tanks,destroyed,11,11,23,Soviet Union,USSR,Russia,RU,https://postimg.cc/Y2QT5S9p,1983,https://i.postimg.cc/Y2QT5S9p/1194-T-62-M-destr-11-11-23.jpg,11/11/2023
89,T-62M,Tanks,destroyed,18,10,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/cCG2vpDy,1983,https://i.postimg.cc/cCG2vpDy/1244-T-62-M-destr-18-10-24.jpg,18/10/2024
90,T-62M,Tanks,destroyed,15,1,25,Soviet Union,USSR,Russia,RU,https://postimg.cc/Pr5WqkTc,1983,https://i.postimg.cc/Pr5WqkTc/1101-T-62-M-destr-15-01-25.jpg,15/1/2025
91,T-62M,Tanks,destroyed,27,10,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/rFtgXJN9,1983,https://i.postimg.cc/rFtgXJN9/1060-T-62-M-destr-27-10-24.jpg,27/10/2024
